id,sales_id,product_id,quantity
80,46,70,1
81,46,80,1
82,47,66,1
83,47,63,1
84,47,82,1
85,47,84,1
86,48,62,1
87,48,78,1
88,48,63,1
89,49,70,1
90,49,73,2
91,49,78,1
92,49,80,1
93,50,63,2
94,50,78,1
95,50,84,1
96,51,70,2
97,51,82,1
98,51,74,2
99,51,72,2
100,52,73,2
101,52,84,1
102,53,82,1
103,53,63,1
104,53,74,1
105,53,72,1
106,54,67,1
107,54,66,1
108,54,76,1
109,55,80,1
110,55,73,1
111,55,63,1
112,55,70,1
113,56,74,1
114,56,82,1
115,56,66,3
116,57,69,2
117,57,75,1
118,57,81,1
119,57,83,1
120,58,71,1
121,58,76,1
122,58,84,1
123,58,72,2
124,59,78,1
125,59,63,2
126,59,80,1
127,59,74,1
128,60,74,2
129,60,72,1
130,60,73,1
131,61,82,1
132,61,74,1
133,61,72,1
134,62,69,1
135,62,85,1
136,62,80,1
137,63,70,1
138,63,80,1
139,64,72,1
140,64,77,1
141,65,80,1
142,65,71,1
143,65,76,1
144,66,72,1
145,66,66,1
146,66,78,1
147,67,72,1
148,67,74,1
149,67,84,1
150,68,70,1
151,68,82,1
152,69,71,1
153,69,77,1
154,69,81,2
155,70,78,1
156,70,84,1
157,70,74,1
158,71,63,1
159,71,82,1
160,71,72,1
161,46,70,1
162,46,80,1
163,47,66,1
164,47,63,1
165,47,82,1
166,47,84,1
167,48,62,1
168,48,78,1
169,48,63,1
170,49,70,1
171,49,73,2
172,49,78,1
173,49,80,1
174,50,63,2
175,50,78,1
176,50,84,1
177,51,70,2
178,51,82,1
179,51,74,2
180,51,72,2
181,52,73,2
182,52,84,1
183,53,82,1
184,53,63,1
185,53,74,1
186,53,72,1
187,54,67,1
188,54,66,1
189,54,76,1
190,55,80,1
191,55,73,1
192,55,63,1
193,55,70,1
194,56,74,1
195,56,82,1
196,56,66,3
197,57,69,2
198,57,75,1
199,57,81,1
200,57,83,1
201,58,71,1
202,58,76,1
203,58,84,1
204,58,72,2
205,59,78,1
206,59,63,2
207,59,80,1
208,59,74,1
209,60,74,2
210,60,72,1
211,60,73,1
212,61,82,1
213,61,74,1
214,61,72,1
215,62,69,1
216,62,85,1
217,62,80,1
218,63,70,1
219,63,80,1
220,64,72,1
221,64,77,1
222,65,80,1
223,65,71,1
224,65,76,1
225,66,72,1
226,66,66,1
227,66,78,1
228,67,72,1
229,67,74,1
230,67,84,1
231,68,70,1
232,68,82,1
233,69,71,1
234,69,77,1
235,69,81,2
236,70,78,1
237,70,84,1
238,70,74,1
239,71,63,1
240,71,82,1
241,71,72,1
242,46,70,1
243,46,80,1
244,47,66,1
245,47,63,1
246,47,82,1
247,47,84,1
248,48,62,1
249,48,78,1
250,48,63,1
251,49,70,1
252,49,73,2
253,49,78,1
254,49,80,1
