cutv_id,user_id,product_id,product_name,cutv_date,cutv_time,count
1,49.228.98.130,235,"ซองซิปพลาสติก 21x14.8 ซม. คละสี (แพ็ค3ใบ) ME.STYLE EV-011",2022-04-11,02:23:07,1
2,49.228.98.130,227,"กบเหลาดินสอ 2 รู สีเงิน ONE AL-1008",2022-04-11,02:23:11,1
3,49.228.98.130,235,"ซองซิปพลาสติก 21x14.8 ซม. คละสี (แพ็ค3ใบ) ME.STYLE EV-011",2022-04-11,02:29:10,1
4,223.204.187.65,232,"ลวดเสียบกระดาษ 33มม. สีชมพู 80 ตัว/ถุง ME.STYLE 100233-PI",2022-04-11,03:00:32,1
5,223.204.187.65,232,"ลวดเสียบกระดาษ 33มม. สีชมพู 80 ตัว/ถุง ME.STYLE 100233-PI",2022-04-11,03:00:40,1
6,81,236,"ถาดพลาสติก 15.2x7.6x5.2ซม. สีดำ ME.STYLE PB9051-TBK",2022-04-11,05:31:59,1
7,81,232,"ลวดเสียบกระดาษ 33มม. สีชมพู 80 ตัว/ถุง ME.STYLE 100233-PI",2022-04-11,05:32:09,1
8,171.4.248.188,233,"พวงกุญแจพลาสติก คละสี 14 ตัว/ถุง ME.STYLE 309140",2022-04-11,05:35:21,1
9,171.4.248.188,233,"พวงกุญแจพลาสติก คละสี 14 ตัว/ถุง ME.STYLE 309140",2022-04-11,05:35:29,1
10,171.4.248.188,236,"ถาดพลาสติก 15.2x7.6x5.2ซม. สีดำ ME.STYLE PB9051-TBK",2022-04-11,05:43:17,1
11,171.4.248.188,236,"ถาดพลาสติก 15.2x7.6x5.2ซม. สีดำ ME.STYLE PB9051-TBK",2022-04-11,05:43:54,1
12,223.205.218.107,236,"ถาดพลาสติก 15.2x7.6x5.2ซม. สีดำ ME.STYLE PB9051-TBK",2022-04-11,06:46:42,1
13,101.108.2.119,235,"ซองซิปพลาสติก 21x14.8 ซม. คละสี (แพ็ค3ใบ) ME.STYLE EV-011",2022-04-11,06:47:13,1
14,82,233,"พวงกุญแจพลาสติก คละสี 14 ตัว/ถุง ME.STYLE 309140",2022-04-11,06:47:23,1
15,82,235,"ซองซิปพลาสติก 21x14.8 ซม. คละสี (แพ็ค3ใบ) ME.STYLE EV-011",2022-04-11,06:49:20,1
16,82,236,"ถาดพลาสติก 15.2x7.6x5.2ซม. สีดำ ME.STYLE PB9051-TBK",2022-04-11,06:50:54,1
17,83,236,"ถาดพลาสติก 15.2x7.6x5.2ซม. สีดำ ME.STYLE PB9051-TBK",2022-04-11,08:34:51,1
18,84,235,"ซองซิปพลาสติก 21x14.8 ซม. คละสี (แพ็ค3ใบ) ME.STYLE EV-011",2022-04-11,09:19:50,1
19,84,235,"ซองซิปพลาสติก 21x14.8 ซม. คละสี (แพ็ค3ใบ) ME.STYLE EV-011",2022-04-11,09:19:59,1
20,84,235,"ซองซิปพลาสติก 21x14.8 ซม. คละสี (แพ็ค3ใบ) ME.STYLE EV-011",2022-04-11,09:20:06,1
21,85,236,"ถาดพลาสติก 15.2x7.6x5.2ซม. สีดำ ME.STYLE PB9051-TBK",2022-04-11,09:24:40,1
22,85,236,"ถาดพลาสติก 15.2x7.6x5.2ซม. สีดำ ME.STYLE PB9051-TBK",2022-04-11,09:24:42,1
23,85,236,"ถาดพลาสติก 15.2x7.6x5.2ซม. สีดำ ME.STYLE PB9051-TBK",2022-04-11,09:25:27,1
24,85,236,"ถาดพลาสติก 15.2x7.6x5.2ซม. สีดำ ME.STYLE PB9051-TBK",2022-04-11,09:25:29,1
25,85,236,"ถาดพลาสติก 15.2x7.6x5.2ซม. สีดำ ME.STYLE PB9051-TBK",2022-04-11,09:25:30,1
26,85,235,"ซองซิปพลาสติก 21x14.8 ซม. คละสี (แพ็ค3ใบ) ME.STYLE EV-011",2022-04-11,09:25:32,1
27,85,235,"ซองซิปพลาสติก 21x14.8 ซม. คละสี (แพ็ค3ใบ) ME.STYLE EV-011",2022-04-11,09:25:47,1
28,49.228.245.73,236,"ถาดพลาสติก 15.2x7.6x5.2ซม. สีดำ ME.STYLE PB9051-TBK",2022-04-11,09:47:10,1
29,115.87.232.116,236,"ถาดพลาสติก 15.2x7.6x5.2ซม. สีดำ ME.STYLE PB9051-TBK",2022-04-11,09:49:37,1
30,115.87.232.116,227,"กบเหลาดินสอ 2 รู สีเงิน ONE AL-1008",2022-04-11,09:49:50,1
31,1.47.131.137,233,"พวงกุญแจพลาสติก คละสี 14 ตัว/ถุง ME.STYLE 309140",2022-04-11,11:19:29,1
32,1.47.131.137,236,"ถาดพลาสติก 15.2x7.6x5.2ซม. สีดำ ME.STYLE PB9051-TBK",2022-04-11,11:19:46,1
33,1.47.131.137,236,"ถาดพลาสติก 15.2x7.6x5.2ซม. สีดำ ME.STYLE PB9051-TBK",2022-04-11,11:19:48,1
34,86,234,"ลวดเสียบกระดาษ 33มม. คละสี 100 ตัว/ถุง ME.STYLE 100233",2022-04-11,11:24:22,1
35,86,218,"กล่องใส่ปากกา สีใส ME.STYLE BLT-4003",2022-04-11,11:24:37,1
36,86,234,"ลวดเสียบกระดาษ 33มม. คละสี 100 ตัว/ถุง ME.STYLE 100233",2022-04-11,11:25:11,1
