"cutv_id","user_id","product_id","product_name","cutv_date","cutv_time","count"
"1","127.0.0.1","235","ซองซิปพลาสติก 21x14.8 ซม. คละสี (แพ็ค3ใบ) ME.STYLE EV-011","2022-04-08","21:27:45","1"
"2","127.0.0.1","233","พวงกุญแจพลาสติก คละสี 14 ตัว/ถุง ME.STYLE 309140","2022-04-08","21:27:49","1"
"3","67","236","ถาดพลาสติก 15.2x7.6x5.2ซม. สีดำ ME.STYLE PB9051-TBK","2022-04-08","21:31:33","1"
"4","67","205","กาวแท่ง 11 กรัม เนื้อกาวใส ตราม้า H-11","2022-04-08","21:31:48","1"
"5","67","199","แท่นตัดเทป แกน 1 นิ้ว ตราม้า H-15","2022-04-08","21:31:59","1"
"6","67","234","ลวดเสียบกระดาษ 33มม. คละสี 100 ตัว/ถุง ME.STYLE 100233","2022-04-08","21:32:39","1"
"7","67","221","กระเป๋าตาข่ายซิปคู่ B6 สีเทา ME.STYLE","2022-04-08","21:32:48","1"
"8","67","143","ปากกาลูกลื่น 0.5 มม. ดำ ONE AH521B","2022-04-08","21:32:56","1"
"9","67","124","ไส้ดินสอ B 0.5 มม. เพนเทล Hi-Polymer C205","2022-04-08","21:33:07","1"
"10","::1","231","สมุดโน๊ต 152x205 มม. 180 แผ่น เขีย ME.STYLE NH152203180","2022-04-08","21:36:02","1"
"11","::1","143","ปากกาลูกลื่น 0.5 มม. ดำ ONE AH521B","2022-04-08","21:37:06","1"
"12","::1","232","ลวดเสียบกระดาษ 33มม. สีชมพู 80 ตัว/ถุง ME.STYLE 100233-PI","2022-04-09","00:14:06","1"
"13","::1","235","ซองซิปพลาสติก 21x14.8 ซม. คละสี (แพ็ค3ใบ) ME.STYLE EV-011","2022-04-09","01:11:48","1"
"14","::1","235","ซองซิปพลาสติก 21x14.8 ซม. คละสี (แพ็ค3ใบ) ME.STYLE EV-011","2022-04-09","01:12:27","1"
"15","::1","235","ซองซิปพลาสติก 21x14.8 ซม. คละสี (แพ็ค3ใบ) ME.STYLE EV-011","2022-04-09","01:12:41","1"
"16","::1","205","กาวแท่ง 11 กรัม เนื้อกาวใส ตราม้า H-11","2022-04-09","01:12:48","1"
"17","2403:6200:88a2:3708:fc06:34f:fa3d:5ea9","235","ซองซิปพลาสติก 21x14.8 ซม. คละสี (แพ็ค3ใบ) ME.STYLE EV-011","2022-04-09","01:27:34","1"
"18","2403:6200:88a2:3708:fc06:34f:fa3d:5ea9","176","ยางลบดินสอ (แพ็ค5ก้อน) สเต็ดเล่อร์ 52635","2022-04-09","01:28:07","1"
"19","2403:6200:88a2:3708:fc06:34f:fa3d:5ea9","234","ลวดเสียบกระดาษ 33มม. คละสี 100 ตัว/ถุง ME.STYLE 100233","2022-04-09","01:28:23","1"
"20","2403:6200:88a2:3708:fc06:34f:fa3d:5ea9","235","ซองซิปพลาสติก 21x14.8 ซม. คละสี (แพ็ค3ใบ) ME.STYLE EV-011","2022-04-09","01:29:53","1"
"21","2403:6200:88a2:3708:fc06:34f:fa3d:5ea9","231","สมุดโน๊ต 152x205 มม. 180 แผ่น เขีย ME.STYLE NH152203180","2022-04-09","01:30:07","1"
"22","2403:6200:88a2:3708:fc06:34f:fa3d:5ea9","235","ซองซิปพลาสติก 21x14.8 ซม. คละสี (แพ็ค3ใบ) ME.STYLE EV-011","2022-04-09","01:30:34","1"
"23","2403:6200:88a2:3708:fc06:34f:fa3d:5ea9","235","ซองซิปพลาสติก 21x14.8 ซม. คละสี (แพ็ค3ใบ) ME.STYLE EV-011","2022-04-09","01:31:25","1"
"24","2403:6200:88a0:3978:9833:e78a:e569:3b81","235","ซองซิปพลาสติก 21x14.8 ซม. คละสี (แพ็ค3ใบ) ME.STYLE EV-011","2022-04-09","11:23:14","1"
"25","2403:6200:88a0:3978:9833:e78a:e569:3b81","232","ลวดเสียบกระดาษ 33มม. สีชมพู 80 ตัว/ถุง ME.STYLE 100233-PI","2022-04-09","11:23:32","1"
"26","2403:6200:88a0:3978:9833:e78a:e569:3b81","236","ถาดพลาสติก 15.2x7.6x5.2ซม. สีดำ ME.STYLE PB9051-TBK","2022-04-09","11:40:14","1"
"27","2403:6200:88a0:3978:9833:e78a:e569:3b81","236","ถาดพลาสติก 15.2x7.6x5.2ซม. สีดำ ME.STYLE PB9051-TBK","2022-04-09","11:40:57","1"
"28","2403:6200:88a0:3978:9833:e78a:e569:3b81","232","ลวดเสียบกระดาษ 33มม. สีชมพู 80 ตัว/ถุง ME.STYLE 100233-PI","2022-04-09","11:41:01","1"
"29","2403:6200:88a0:3978:9833:e78a:e569:3b81","236","ถาดพลาสติก 15.2x7.6x5.2ซม. สีดำ ME.STYLE PB9051-TBK","2022-04-09","11:46:10","1"
