id,sales_id,product_id,product_name,quantity
80,46,70,????? 2B YOYA 609-2B ???? ???? 3 ????,1
81,46,80,?????????? (????5????) ??????????? 52635,1
82,47,66,????? 0.5 ??. ????????????? ONE MD-H1058,1
83,47,63,???????????? 0.7 ??. ???????? ONE TB110202,1
84,47,82,???????????? S1321506 ????????????? (????4????) NP-10,1
85,47,84,?????????? 5??.x8?. ???? ONE T-90214PI,1
86,48,62,????????????????????? 174 ????. ????????,1
87,48,78,?????????? 24 ?? ?????????????? Faber-Castell 115855,1
88,48,63,???????????? 0.7 ??. ???????? ONE TB110202,1
89,49,70,????? 2B YOYA 609-2B ???? ???? 3 ????,1
90,49,73,???????????? 0.5 ??. ????????. ONE AH195V,2
91,49,78,?????????? 24 ?? ?????????????? Faber-Castell 115855,1
92,49,80,?????????? (????5????) ??????????? 52635,1
93,50,63,???????????? 0.7 ??. ???????? ONE TB110202,2
94,50,78,?????????? 24 ?? ?????????????? Faber-Castell 115855,1
95,50,84,?????????? 5??.x8?. ???? ONE T-90214PI,1
96,51,70,????? 2B YOYA 609-2B ???? ???? 3 ????,2
97,51,82,???????????? S1321506 ????????????? (????4????) NP-10,1
98,51,74,???????????? 0.5 ??. ??????? ONE AH195V,2
99,51,72,???????????? 0.5 ??. ????????? ONE AH195V,2
100,52,73,???????????? 0.5 ??. ????????. ONE AH195V,2
101,52,84,?????????? 5??.x8?. ???? ONE T-90214PI,1
102,53,82,???????????? S1321506 ????????????? (????4????) NP-10,1
103,53,63,???????????? 0.7 ??. ???????? ONE TB110202,1
104,53,74,???????????? 0.5 ??. ??????? ONE AH195V,1
105,53,72,???????????? 0.5 ??. ????????? ONE AH195V,1
106,54,67,????? 0.5 ??. ?????????? ONE MD-H1058,1
107,54,66,????? 0.5 ??. ????????????? ONE MD-H1058,1
108,54,76,???????? Luna 12 ?? ??????????? 136,1
109,55,80,?????????? (????5????) ??????????? 52635,1
110,55,73,???????????? 0.5 ??. ????????. ONE AH195V,1
111,55,63,???????????? 0.7 ??. ???????? ONE TB110202,1
112,55,70,????? 2B YOYA 609-2B ???? ???? 3 ????,1
113,56,74,???????????? 0.5 ??. ??????? ONE AH195V,1
114,56,82,???????????? S1321506 ????????????? (????4????) NP-10,1
115,56,66,????? 0.5 ??. ????????????? ONE MD-H1058,3
116,57,69,??????????? 0.5 ??. ???? ?????? PD105T,2
117,57,75,???????? Luna 24 ?? ??????????? 136,1
118,57,81,?????????? ???? Faber-Castell DUST FREE,1
119,57,83,?????????? ????????? Faber-Castell DUST FREE,1
120,58,71,????? 2B ???? QP920 (???? 6 ????),1
121,58,76,???????? Luna 12 ?? ??????????? 136,1
122,58,84,?????????? 5??.x8?. ???? ONE T-90214PI,1
123,58,72,???????????? 0.5 ??. ????????? ONE AH195V,2
124,59,78,?????????? 24 ?? ?????????????? Faber-Castell 115855,1
125,59,63,???????????? 0.7 ??. ???????? ONE TB110202,2
126,59,80,?????????? (????5????) ??????????? 52635,1
127,59,74,???????????? 0.5 ??. ??????? ONE AH195V,1
128,60,74,???????????? 0.5 ??. ??????? ONE AH195V,2
129,60,72,???????????? 0.5 ??. ????????? ONE AH195V,1
130,60,73,???????????? 0.5 ??. ????????. ONE AH195V,1
131,61,82,???????????? S1321506 ????????????? (????4????) NP-10,1
132,61,74,???????????? 0.5 ??. ??????? ONE AH195V,1
133,61,72,???????????? 0.5 ??. ????????? ONE AH195V,1
134,62,69,??????????? 0.5 ??. ???? ?????? PD105T,1
135,62,85,??????????? 0.5 ??. ??????? ?????? PD105T,1
136,62,80,?????????? (????5????) ??????????? 52635,1
137,63,70,????? 2B YOYA 609-2B ???? ???? 3 ????,1
138,63,80,?????????? (????5????) ??????????? 52635,1
139,64,72,???????????? 0.5 ??. ????????? ONE AH195V,1
140,64,77,?????????? 18 ?? ???????? ?????????????,1
141,65,80,?????????? (????5????) ??????????? 52635,1
142,65,71,????? 2B ???? QP920 (???? 6 ????),1
143,65,76,???????? Luna 12 ?? ??????????? 136,1
144,66,72,???????????? 0.5 ??. ????????? ONE AH195V,1
145,66,66,????? 0.5 ??. ????????????? ONE MD-H1058,1
146,66,78,?????????? 24 ?? ?????????????? Faber-Castell 115855,1
147,67,72,???????????? 0.5 ??. ????????? ONE AH195V,1
148,67,74,???????????? 0.5 ??. ??????? ONE AH195V,1
149,67,84,?????????? 5??.x8?. ???? ONE T-90214PI,1
150,68,70,????? 2B YOYA 609-2B ???? ???? 3 ????,1
151,68,82,???????????? S1321506 ????????????? (????4????) NP-10,1
152,69,71,????? 2B ???? QP920 (???? 6 ????),1
153,69,77,?????????? 18 ?? ???????? ?????????????,1
154,69,81,?????????? ???? Faber-Castell DUST FREE,2
155,70,78,?????????? 24 ?? ?????????????? Faber-Castell 115855,1
156,70,84,?????????? 5??.x8?. ???? ONE T-90214PI,1
157,70,74,???????????? 0.5 ??. ??????? ONE AH195V,1
158,71,63,???????????? 0.7 ??. ???????? ONE TB110202,1
159,71,82,???????????? S1321506 ????????????? (????4????) NP-10,1
160,71,72,???????????? 0.5 ??. ????????? ONE AH195V,1
